,y_test,prediction
4931,1426.1436,2579.505289511674
4148,1201.769,2538.857713939048
7423,1836.2764,2169.512543658709
4836,2410.8618,2370.6475668524863
944,1549.9824,3085.0670121886587
154,3169.208,3660.364413895243
7230,2036.6822,2939.34778662352
3472,824.9262,2006.4983088967047
2294,378.1744,1155.7320002101912
2588,1573.9512,1813.9591778991796
2087,2474.7786,1870.3877763572336
7318,101.8674,297.5337528743444
6126,894.8352,1484.5411295531014
4164,1491.392,2438.0066504497454
6572,1390.1904,1942.253257550003
693,1707.777,1553.9010681066027
1270,1853.5872,2511.788962050732
5893,2404.8696,2764.5371655487406
1624,5528.1374,3874.4692312246743
5223,12117.56,5351.2529674354155
2972,4767.128,3755.3996781593914
6814,185.7582,1267.6726213486525
1555,187.0898,1185.5406010925717
8275,772.328,1655.511182931023
3760,1324.2762,2133.60427435819
3161,2036.6822,1687.9059069247699
5225,6574.775,5581.702087899133
1570,5285.1204,4098.9211372967775
4285,773.6596,950.6100484309073
1835,6615.3888,3856.1136329560095
4266,1022.6688,1545.332193419674
2740,2797.6916,4078.0198840635294
4312,3099.9648,2738.0779184399717
2379,1720.4272,3422.522772079921
821,3338.3212,2385.0028214450695
5862,1061.951,1399.8239769830327
5108,4567.388,4043.848712244104
7149,6474.2392,5406.298059961507
2060,1145.176,1950.710435042374
1571,2804.3496,1765.4450960936247
3879,945.436,1169.1550951438608
1889,1255.033,2153.367938120965
528,5206.556,3720.4602361683583
7060,5842.395,3765.862869519009
5845,3379.6008,3009.974145575534
5860,477.3786,626.1697332452052
4861,113.8518,-178.59578904157183
1824,992.042,1276.5953770107708
1098,5259.82,4211.524564110703
5530,1704.448,1406.0219258411
1921,117.8466,41.53307329673248
8517,3608.636,2872.488151558806
4908,729.051,591.6311259997544
2006,2422.1804,2324.824564321474
98,4363.6532,3820.9094920712714
7140,753.0198,731.2881293236974
1003,713.0718,603.9647020513613
3162,683.1108,652.7575570258532
4376,195.7452,-330.03791211996236
3930,3159.8868,3740.571544942215
5973,1348.245,1556.4272019091127
4276,1803.6522,1381.6872799397952
6789,5932.278,2586.0733804910005
8116,71.9064,-1234.8332024179379
2030,2270.378,1745.1464565215058
3484,303.6048,482.94446424865396
233,2603.278,2579.4873188936745
4511,5773.1518,3189.704035462468
852,2691.8294,3332.8114256616946
1364,476.047,625.8380485529872
257,193.082,1510.425401849075
5809,2460.7968,1635.2147241509044
