,y_test,prediction
4931,1426.1436,2584.0
4148,1201.769,2512.0
7423,1836.2764,2168.0
4836,2410.8618,2384.0
944,1549.9824,3096.0
154,3169.208,3680.0
7230,2036.6822,2912.0
3472,824.9262,2016.0
2294,378.1744,1088.0
2588,1573.9512,1840.0
2087,2474.7786,1880.0
7318,101.8674,328.0
6126,894.8352,1504.0
4164,1491.392,2448.0
6572,1390.1904,1944.0
693,1707.777,1552.0
1270,1853.5872,2528.0
5893,2404.8696,2760.0
1624,5528.1374,3880.0
5223,12117.56,5336.0
2972,4767.128,3776.0
6814,185.7582,1280.0
1555,187.0898,1176.0
8275,772.328,1648.0
3760,1324.2762,2160.0
3161,2036.6822,1712.0
5225,6574.775,5568.0
1570,5285.1204,4128.0
4285,773.6596,992.0
1835,6615.3888,3856.0
4266,1022.6688,1552.0
2740,2797.6916,4104.0
4312,3099.9648,2752.0
2379,1720.4272,3440.0
821,3338.3212,2384.0
5862,1061.951,1408.0
5108,4567.388,4032.0
7149,6474.2392,5392.0
2060,1145.176,1952.0
1571,2804.3496,1768.0
3879,945.436,1184.0
1889,1255.033,2128.0
528,5206.556,3728.0
7060,5842.395,3784.0
5845,3379.6008,3024.0
5860,477.3786,640.0
4861,113.8518,-152.0
1824,992.042,1264.0
1098,5259.82,4232.0
5530,1704.448,1424.0
1921,117.8466,32.0
8517,3608.636,2904.0
4908,729.051,616.0
2006,2422.1804,2320.0
98,4363.6532,3792.0
7140,753.0198,752.0
1003,713.0718,592.0
3162,683.1108,656.0
4376,195.7452,-352.0
3930,3159.8868,3736.0
5973,1348.245,1552.0
4276,1803.6522,1408.0
6789,5932.278,2608.0
8116,71.9064,-1312.0
2030,2270.378,1760.0
3484,303.6048,488.0
233,2603.278,2576.0
4511,5773.1518,3216.0
852,2691.8294,3336.0
1364,476.047,656.0
257,193.082,1512.0
5809,2460.7968,1640.0
3810,121.8414,80.0
379,4274.436,3520.0
7273,412.796,-176.0
6787,4625.9784,4144.0
2645,3006.087,2336.0
1589,4950.8888,3536.0
5198,529.311,2528.0
3909,2184.4898,2184.0
8236,510.0028,2144.0
888,2620.5888,2592.0
5175,981.3892,784.0
1580,319.584,640.0
4109,2297.01,2440.0
4238,1018.674,560.0
140,1402.1748,2528.0
6770,3942.8676,3064.0
4098,1182.4608,3120.0
4394,937.4464,3400.0
543,1398.18,2208.0
3412,1168.479,1016.0
3043,1569.9564,1384.0
6696,6474.2392,5296.0
6565,296.9468,488.0
2563,2127.8968,3392.0
4824,5683.2688,4136.0
6335,2616.594,2816.0
6164,4866.998,2344.0
6095,316.9208,552.0
4972,355.5372,1560.0
3535,2994.7684,3376.0
7490,607.2096,624.0
49,780.3176,1112.0
7475,1685.8056,2304.0
380,5375.0034,5168.0
7192,1267.0174,1584.0
4773,3131.9232,3224.0
4088,1629.8784,1392.0
2849,6196.6006,3888.0
6750,3094.6384,3544.0
2488,3142.576,3200.0
3812,2972.1312,2608.0
916,895.501,976.0
2539,5259.82,3408.0
541,231.6984,1360.0
7275,2922.1962,2176.0
6192,922.7988,2640.0
5373,3819.0288,2632.0
1657,75.9012,400.0
273,5829.7448,4176.0
7086,392.822,1224.0
2337,61.2536,-944.0
2607,3542.056,3152.0
3299,5396.9748,4192.0
2631,1510.0344,4128.0
3776,4349.0056,3200.0
4153,225.7062,1736.0
4557,2162.5184,1296.0
5378,1065.28,3448.0
6000,7393.0432,5048.0
7564,802.9548,736.0
1035,2190.482,2528.0
8440,2960.1468,2352.0
6539,3281.0624,3808.0
3434,3778.415,2600.0
5233,3751.783,1752.0
4061,428.7752,-200.0
44,373.5138,2112.0
5022,120.5098,48.0
5085,2916.204,3968.0
3007,3439.5228,2832.0
7336,1830.95,2456.0
2434,2006.7212,1520.0
2580,3629.2758,2632.0
4559,351.5424,904.0
5615,2375.5744,2384.0
7019,2466.789,2224.0
4574,2303.668,1912.0
4589,1543.3244,2152.0
7801,2432.8332,2784.0
8255,2696.49,1712.0
7646,790.9704,720.0
6132,5438.9202,3856.0
5663,1174.4712,1528.0
3637,1166.4816,944.0
2966,143.8128,488.0
6577,761.6752,1616.0
6261,4288.4178,4992.0
4083,1216.4166,4336.0
4415,5219.872,3112.0
2643,5976.2208,3616.0
1132,1901.5248,2472.0
5686,856.8846,1608.0
7491,3175.866,2992.0
938,89.2172,-376.0
7453,509.337,992.0
6510,3251.1014,2784.0
234,605.878,776.0
722,1780.3492,2136.0
187,778.986,2152.0
3526,473.3838,1136.0
4699,6831.108,3744.0
2793,1837.608,1288.0
6198,3214.4824,3040.0
2650,2524.0478,2512.0
7761,1403.5064,1376.0
3112,886.8456,1680.0
635,5087.3778,4496.0
7677,2045.3376,4056.0
4413,3900.9222,2448.0
4937,3658.571,1624.0
5645,2077.296,2848.0
1034,75.9012,-1184.0
3326,3478.805,2912.0
1103,5350.3688,2736.0
6440,1113.2176,1000.0
2578,2648.5524,2416.0
394,3259.7568,3056.0
4994,2292.3494,3344.0
787,129.1652,-848.0
2152,2348.9424,2096.0
5105,1230.3984,1800.0
3379,727.0536,992.0
4800,488.6972,1936.0
5276,2055.3246,1664.0
6608,691.1004,1848.0
7114,3174.5344,3200.0
6423,569.259,2720.0
5840,1446.1176,1760.0
3766,5267.8096,3584.0
5575,885.514,1544.0
3779,3563.3616,2192.0
5977,8474.3024,5072.0
7052,3675.216,3664.0
1082,1584.604,1856.0
7917,743.0328,1392.0
5836,3271.7412,3728.0
3976,1592.5936,2480.0
1783,2364.9216,2408.0
1414,3420.8804,5240.0
3724,5000.8238,4160.0
5605,1607.907,3376.0
2509,2960.1468,2360.0
2067,1518.024,2472.0
2774,1419.4856,1808.0
6630,173.108,-472.0
1817,4410.2592,3016.0
3805,2182.4924,3264.0
2081,392.822,1200.0
7551,3229.7958,3872.0
5173,2302.3364,2944.0
3714,5299.768,4224.0
692,4974.1918,3984.0
1235,3235.788,2664.0
5770,2388.2246,2320.0
642,3246.4408,2376.0
7419,2444.8176,2392.0
3315,2956.152,3088.0
3679,2695.1584,2144.0
38,388.1614,2080.0
7813,109.1912,-1128.0
5155,354.2056,928.0
8405,124.5046,80.0
1180,2190.482,2440.0
1022,352.874,896.0
7538,1817.634,2584.0
8284,197.0768,-232.0
7975,922.7988,1448.0
1332,1957.452,2312.0
5873,2422.1804,2336.0
2189,5243.8408,3816.0
1386,3691.1952,2768.0
147,1597.92,2608.0
8244,3964.839,4208.0
7158,5592.72,3376.0
4520,2302.3364,2016.0
3769,3567.3564,4456.0
5470,1791.6678,960.0
7898,790.9704,2296.0
8441,777.6544,1648.0
4919,341.5554,1856.0
196,992.7078,864.0
5367,2596.62,2472.0
1456,351.5424,1424.0
277,450.0808,1904.0
1830,1468.089,784.0
2172,697.7584,888.0
3266,5752.512,3456.0
1379,5816.4288,5272.0
4844,102.5332,-168.0
6799,459.402,3736.0
7782,2345.6134,2992.0
2843,2796.36,3816.0
1283,1581.275,1144.0
3375,352.874,864.0
5739,2087.283,2736.0
5937,312.926,520.0
3180,1524.0162,1560.0
7671,1078.596,816.0
8210,3435.528,3448.0
2417,3731.809,3208.0
7299,3352.303,2864.0
958,1973.4312,2736.0
6956,2125.2336,1600.0
3740,91.8804,-1056.0
3079,497.3526,880.0
5167,683.1108,1936.0
839,2857.6136,1712.0
39,2180.495,2864.0
7852,1342.2528,1616.0
4881,2792.3652,2512.0
6258,2512.7292,2672.0
7427,884.1824,1616.0
3603,330.2368,752.0
7648,1070.6064,1392.0
462,1787.673,1872.0
4065,1845.5976,2752.0
982,384.8324,1184.0
6296,247.6776,120.0
641,6611.394,3232.0
454,2683.174,1464.0
20,3775.086,3968.0
8401,1395.5168,1600.0
8283,1845.5976,1568.0
3639,390.1588,1184.0
244,3225.1352,3600.0
2984,1257.0304,2536.0
6154,3874.956,3144.0
3978,882.8508,960.0
4609,1049.9666,704.0
6039,1757.712,2560.0
882,300.9416,512.0
3443,1150.5024,880.0
7632,41.9454,-1176.0
4967,3146.5708,2984.0
3634,1601.249,2032.0
4060,5609.365,4928.0
651,229.701,-1048.0
1852,874.8612,568.0
162,3315.684,3328.0
7043,992.7078,2360.0
4240,1518.024,3064.0
6163,1957.452,2352.0
5863,2387.5588,3192.0
304,7696.648,3576.0
4853,2852.2872,2824.0
7311,1494.0552,1576.0
7398,1494.0552,1344.0
6866,647.8234,1624.0
6943,325.5762,1864.0
1085,5173.266,4120.0
7496,2868.2664,3720.0
5165,2954.1546,2976.0
2457,5099.3622,3568.0
8008,2743.7618,3512.0
2813,113.186,-160.0
2214,2936.178,3152.0
1168,2519.3872,1928.0
8070,868.869,1760.0
6148,2740.4328,3176.0
8253,2896.8958,2192.0
6913,325.5762,1872.0
6340,3123.9336,2968.0
8003,1342.2528,3104.0
1261,2681.8424,2344.0
296,583.2408,928.0
229,3101.2964,4336.0
2241,856.8846,1224.0
4407,587.2356,1640.0
221,1416.8224,1568.0
6982,5073.396,4096.0
6688,5888.3352,4224.0
1411,928.791,1088.0
2549,6381.693,2328.0
4123,4082.6856,2344.0
5435,2127.231,2384.0
2076,2516.724,2016.0
7886,1857.582,1760.0
3840,1559.9694,2448.0
4068,1761.7068,1536.0
5972,549.285,1056.0
7176,2037.348,2728.0
1091,2503.408,2576.0
7138,652.484,840.0
8141,452.744,632.0
2250,458.0704,1840.0
4977,2446.815,2624.0
5518,2463.46,1408.0
6481,2716.464,2320.0
6605,1125.202,2104.0
4328,5690.5926,2888.0
8153,1719.7614,3072.0
6289,2247.075,2624.0
2676,4134.618,2848.0
4582,3495.45,3904.0
5399,2802.3522,2032.0
8412,2203.798,3592.0
5599,429.441,320.0
4076,2450.144,2560.0
6436,3506.7686,2496.0
3636,6338.416,3072.0
841,178.4344,-440.0
3528,3872.9586,2928.0
1547,829.5868,608.0
6724,1454.1072,2032.0
6853,3098.6332,1912.0
8046,392.822,3200.0
1029,1198.44,1088.0
7766,1707.777,1952.0
6670,264.9884,2304.0
8148,3142.576,3128.0
7355,80.5618,-640.0
4900,3439.5228,2696.0
6428,1808.9786,2712.0
5498,309.597,1480.0
7533,2572.6512,3072.0
7994,3593.3226,2768.0
3910,1621.8888,3280.0
2568,659.142,696.0
2644,884.1824,992.0
733,1807.647,1968.0
4105,5522.811,5544.0
5694,1435.4648,2192.0
6512,2841.6344,2128.0
6590,3691.1952,2456.0
5558,6624.71,4272.0
1750,5956.9126,4184.0
836,145.8102,-1072.0
2528,6503.5344,3376.0
4831,858.882,2352.0
5006,1701.7848,2312.0
7489,614.5334,752.0
2866,250.3408,64.0
7154,3835.008,3488.0
683,1488.063,1656.0
499,1298.31,2096.0
388,717.7324,2368.0
6101,2999.429,2856.0
3311,1346.2476,3592.0
6380,3755.112,3112.0
8404,153.134,-728.0
119,1141.847,3360.0
158,1701.7848,2336.0
6968,755.0172,1392.0
3986,4250.4672,1760.0
5962,1641.197,1688.0
6693,1957.452,2224.0
1044,6048.793,4232.0
3964,2077.296,1808.0
6059,3704.5112,3712.0
4301,3295.71,1680.0
7733,467.3916,296.0
7868,2542.0244,1872.0
6837,4165.2448,3840.0
3975,892.8378,1632.0
6099,567.2616,384.0
7276,1537.998,1720.0
1422,852.224,1368.0
4561,2183.824,1816.0
6183,3509.4318,2728.0
1644,153.7998,568.0
2480,782.9808,1264.0
