,y_test,prediction
4931,1426.1436,2646.3298
4148,1201.769,1752.3689
7423,1836.2764,2241.2942
4836,2410.8618,2131.4211
944,1549.9824,2079.9993
154,3169.208,3979.3135
7230,2036.6822,2602.1729
3472,824.9262,1790.4738
2294,378.1744,548.2519
2588,1573.9512,1866.4121
2087,2474.7786,1822.9824
7318,101.8674,456.46506
6126,894.8352,1487.0057
4164,1491.392,2268.0251
6572,1390.1904,1998.0176
693,1707.777,1369.408
1270,1853.5872,2320.3447
5893,2404.8696,2941.227
1624,5528.1374,3687.857
5223,12117.56,6044.0933
2972,4767.128,3347.9292
6814,185.7582,358.44232
1555,187.0898,535.55096
8275,772.328,1562.9595
3760,1324.2762,2149.3372
3161,2036.6822,1638.6302
5225,6574.775,5884.3613
1570,5285.1204,3968.6707
4285,773.6596,877.4315
1835,6615.3888,3712.1306
4266,1022.6688,1318.2196
2740,2797.6916,3968.6707
4312,3099.9648,2734.3765
2379,1720.4272,3343.7834
821,3338.3212,2292.5415
5862,1061.951,392.23602
5108,4567.388,4029.1438
7149,6474.2392,6212.916
2060,1145.176,1878.5394
1571,2804.3496,1558.9287
3879,945.436,1290.7374
1889,1255.033,972.05585
528,5206.556,3931.9346
7060,5842.395,3561.733
5845,3379.6008,2985.6838
5860,477.3786,507.97745
4861,113.8518,296.33456
1824,992.042,759.0223
1098,5259.82,3968.6707
5530,1704.448,1404.4
1921,117.8466,265.79605
8517,3608.636,2705.7407
4908,729.051,596.7815
2006,2422.1804,2073.1775
98,4363.6532,3540.0852
7140,753.0198,789.0011
1003,713.0718,627.9348
3162,683.1108,575.1477
4376,195.7452,138.0317
3930,3159.8868,3926.994
5973,1348.245,1424.6107
4276,1803.6522,1373.0498
6789,5932.278,2487.2043
8116,71.9064,84.96894
2030,2270.378,1702.0077
3484,303.6048,304.61917
233,2603.278,2339.622
4511,5773.1518,3050.9023
852,2691.8294,3565.0142
1364,476.047,608.6575
257,193.082,1543.6823
5809,2460.7968,1440.8416
3810,121.8414,253.82806
379,4274.436,3696.0417
7273,412.796,224.77202
6787,4625.9784,3903.4521
2645,3006.087,2073.1775
1589,4950.8888,3888.3562
5198,529.311,3070.7627
3909,2184.4898,1826.4514
8236,510.0028,766.858
888,2620.5888,2594.5835
5175,981.3892,727.19885
1580,319.584,789.0011
4109,2297.01,2389.1333
4238,1018.674,773.27057
140,1402.1748,2339.622
6770,3942.8676,3089.54
4098,1182.4608,3141.8596
4394,937.4464,3107.3345
543,1398.18,2053.9001
3412,1168.479,1180.4148
3043,1569.9564,1259.2094
6696,6474.2392,6044.0933
6565,296.9468,304.61917
2563,2127.8968,2974.6887
4824,5683.2688,3715.438
6335,2616.594,2750.4746
6164,4866.998,2292.5415
6095,316.9208,323.86862
4972,355.5372,1533.9769
3535,2994.7684,3374.675
7490,607.2096,628.7622
49,780.3176,436.92035
7475,1685.8056,2183.9229
380,5375.0034,6375.637
7192,1267.0174,1682.5691
4773,3131.9232,3050.9023
4088,1629.8784,1454.8232
2849,6196.6006,3540.0852
6750,3094.6384,3771.6152
2488,3142.576,2927.8157
3812,2972.1312,2562.2317
916,895.501,297.68134
2539,5259.82,3465.687
541,231.6984,1306.6469
7275,2922.1962,2186.0579
6192,922.7988,2339.622
5373,3819.0288,2571.1436
1657,75.9012,456.46506
273,5829.7448,3739.891
7086,392.822,580.2656
2337,61.2536,167.55353
2607,3542.056,3089.54
3299,5396.9748,4301.8794
2631,1510.0344,3968.6707
3776,4349.0056,3194.419
4153,225.7062,713.9041
4557,2162.5184,1220.7966
5378,1065.28,3410.998
6000,7393.0432,6375.637
7564,802.9548,636.7202
1035,2190.482,2212.8325
8440,2960.1468,2153.6313
6539,3281.0624,3540.0852
3434,3778.415,2287.3025
5233,3751.783,1682.7305
4061,428.7752,238.6827
44,373.5138,2078.4138
5022,120.5098,268.6636
5085,2916.204,3978.5266
3007,3439.5228,2116.808
7336,1830.95,2494.8223
2434,2006.7212,1405.3335
2580,3629.2758,2529.1023
4559,351.5424,642.3942
5615,2375.5744,2389.1333
7019,2466.789,2112.1438
4574,2303.668,1876.3964
4589,1543.3244,917.22485
7801,2432.8332,2784.6548
8255,2696.49,1593.8094
7646,790.9704,608.6575
6132,5438.9202,3645.923
5663,1174.4712,1515.522
3637,1166.4816,760.70874
2966,143.8128,262.12244
6577,761.6752,1512.5363
6261,4288.4178,6155.2954
4083,1216.4166,5125.982
4415,5219.872,3089.54
2643,5976.2208,3351.352
1132,1901.5248,2546.8062
5686,856.8846,1562.9595
7491,3175.866,2851.0203
938,89.2172,265.92105
7453,509.337,896.70886
6510,3251.1014,2882.4958
234,605.878,786.7241
722,1780.3492,1912.5088
187,778.986,2242.1665
3526,473.3838,793.5565
4699,6831.108,4059.0432
2793,1837.608,1287.3696
6198,3214.4824,2702.3845
2650,2524.0478,2320.3447
7761,1403.5064,1256.1235
3112,886.8456,1543.6823
635,5087.3778,5077.3423
7677,2045.3376,4956.7544
4413,3900.9222,2281.977
4937,3658.571,1558.9287
5645,2077.296,2998.438
1034,75.9012,79.37385
3326,3478.805,3023.1182
1103,5350.3688,2371.3613
6440,1113.2176,877.4315
2578,2648.5524,2389.1333
394,3259.7568,3520.905
4994,2292.3494,3653.7012
787,129.1652,261.51736
2152,2348.9424,2064.2703
5105,1230.3984,1603.0289
3379,727.0536,877.4315
4800,488.6972,579.46967
5276,2055.3246,1543.6823
6608,691.1004,1931.7363
7114,3174.5344,3050.9023
6423,569.259,2734.3765
5840,1446.1176,1760.9028
3766,5267.8096,3737.931
5575,885.514,1468.6631
3779,3563.3616,2149.3372
5977,8474.3024,6098.371
7052,3675.216,3153.432
1082,1584.604,1703.5773
7917,743.0328,1256.1235
5836,3271.7412,3963.0806
3976,1592.5936,1807.2
1783,2364.9216,2469.645
1414,3420.8804,6044.0933
3724,5000.8238,4178.7134
5605,1607.907,3823.568
2509,2960.1468,2394.5166
2067,1518.024,2464.3196
2774,1419.4856,1682.7305
6630,173.108,219.19225
1817,4410.2592,3050.9023
3805,2182.4924,3089.54
2081,392.822,589.96594
7551,3229.7958,3443.9988
5173,2302.3364,2912.487
3714,5299.768,4032.0269
692,4974.1918,3762.4336
1235,3235.788,2590.421
5770,2388.2246,2183.9229
642,3246.4408,2200.2097
7419,2444.8176,2339.622
3315,2956.152,2276.042
3679,2695.1584,1992.4912
38,388.1614,935.6383
7813,109.1912,159.71017
5155,354.2056,132.59972
8405,124.5046,296.33456
1180,2190.482,2129.9731
1022,352.874,364.29126
7538,1817.634,2487.2043
8284,197.0768,207.42426
7975,922.7988,1287.3696
1332,1957.452,2357.796
5873,2422.1804,2203.2002
2189,5243.8408,3978.5266
1386,3691.1952,2494.92
147,1597.92,2590.421
8244,3964.839,4172.637
7158,5592.72,2875.7278
4520,2302.3364,2061.2795
3769,3567.3564,5077.3423
5470,1791.6678,1133.8344
7898,790.9704,817.1921
8441,777.6544,1543.6823
4919,341.5554,1790.4738
196,992.7078,786.7241
5367,2596.62,2848.9968
1456,351.5424,1377.1732
277,450.0808,1791.643
1830,1468.089,689.5074
2172,697.7584,489.0043
3266,5752.512,3653.7012
1379,5816.4288,6044.0933
4844,102.5332,224.77202
6799,459.402,4082.951
7782,2345.6134,2849.2666
2843,2796.36,3775.7224
1283,1581.275,1049.8002
3375,352.874,407.8719
5739,2087.283,2707.985
5937,312.926,304.61917
3180,1524.0162,541.9124
7671,1078.596,689.5074
8210,3435.528,3374.675
2417,3731.809,3089.54
7299,3352.303,2788.0322
958,1973.4312,2599.909
6956,2125.2336,1643.3445
3740,91.8804,115.00641
3079,497.3526,812.67566
5167,683.1108,1828.1162
839,2857.6136,1562.9595
39,2180.495,2116.808
7852,1342.2528,1493.259
4881,2792.3652,2333.7021
6258,2512.7292,1752.3689
7427,884.1824,462.31125
3603,330.2368,489.10315
7648,1070.6064,1404.5773
462,1787.673,1950.5801
4065,1845.5976,2805.7239
982,384.8324,477.41046
6296,247.6776,177.96275
641,6611.394,3219.9683
454,2683.174,1256.1235
20,3775.086,3680.3367
8401,1395.5168,1419.5352
8283,1845.5976,1405.3335
3639,390.1588,603.995
244,3225.1352,4039.1018
2984,1257.0304,2334.2966
6154,3874.956,2949.8025
3978,882.8508,850.4219
4609,1049.9666,762.98566
6039,1757.712,1487.2698
882,300.9416,535.7471
3443,1150.5024,760.70874
7632,41.9454,79.37385
4967,3146.5708,3050.9023
3634,1601.249,1964.3309
4060,5609.365,5848.8047
651,229.701,101.877625
1852,874.8612,596.7815
162,3315.684,3218.718
7043,992.7078,2131.4211
4240,1518.024,3047.7893
6163,1957.452,2180.9324
5863,2387.5588,2889.8604
304,7696.648,3634.2935
4853,2852.2872,2502.355
7311,1494.0552,1405.3335
7398,1494.0552,1227.9633
6866,647.8234,1543.6823
6943,325.5762,1682.7305
1085,5173.266,5018.487
7496,2868.2664,3665.8438
5165,2954.1546,3335.0588
2457,5099.3622,3634.2935
8008,2743.7618,3842.6714
2813,113.186,251.2243
2214,2936.178,3129.4202
1168,2519.3872,1859.2622
8070,868.869,1562.9595
6148,2740.4328,3050.9023
8253,2896.8958,2149.3372
6913,325.5762,1702.0077
6340,3123.9336,3173.9104
8003,1342.2528,3050.9023
1261,2681.8424,2180.9324
296,583.2408,779.986
229,3101.2964,6040.6143
2241,856.8846,1093.8525
4407,587.2356,1515.522
221,1416.8224,1654.5177
6982,5073.396,3968.6707
6688,5888.3352,4341.067
1411,928.791,965.76697
2549,6381.693,2122.6885
4123,4082.6856,2157.601
5435,2127.231,2292.5415
2076,2516.724,1953.5247
7886,1857.582,1640.7733
3840,1559.9694,2131.4211
4068,1761.7068,1515.522
5972,549.285,661.6721
7176,2037.348,2665.3384
1091,2503.408,2529.1023
7138,652.484,779.986
8141,452.744,762.98566
2250,458.0704,1790.4738
4977,2446.815,2528.312
5518,2463.46,1356.8911
6481,2716.464,2232.235
6605,1125.202,917.22485
4328,5690.5926,2903.3398
8153,1719.7614,3050.9023
6289,2247.075,2761.2876
2676,4134.618,2830.8667
4582,3495.45,3712.1306
5399,2802.3522,1843.7203
8412,2203.798,3498.5833
5599,429.441,287.61276
4076,2450.144,2206.6172
6436,3506.7686,2339.622
3636,6338.416,3050.9023
841,178.4344,235.20958
3528,3872.9586,2589.1914
1547,829.5868,789.0011
6724,1454.1072,1790.4738
